Array size;delta(k)=delta(k-1)/2;delta(k)=delta(k-1)*5/11;delta(k)={2^n-1} n>0;delta(k)={4^n+3*2^(n-1)+1,1} n>0;delta(k)={2^n*3^m}n,m>0;empirical,delta(k-1)=delta(k)*2.25;Reference sort;
100;0;0;0;0;0;0;0;
200;0;0;0;0;0;0;0;
300;0;0;0;0;0;0;0;
400;0;0;0;0;0;0;0;
500;0;0;0;0;1;0;0;
600;1;0;0;0;1;0;0;
700;2;1;1;0;2;1;0;
800;1;0;1;1;3;1;0;
900;2;2;1;1;4;1;0;
1000;2;3;2;1;5;3;0;
1100;6;3;4;2;7;3;0;
1200;4;4;4;2;7;3;0;
1300;5;2;6;3;12;6;0;
1400;7;3;6;4;12;4;0;
1500;6;4;7;5;12;7;0;
1600;9;4;6;5;15;6;0;
1700;8;4;7;4;16;9;0;
1800;12;6;11;7;18;8;0;
1900;11;13;11;6;17;7;0;
2000;9;10;9;7;18;8;0;
2100;13;10;9;7;20;11;0;
2200;15;11;14;8;23;10;0;
2300;18;14;17;12;36;16;1;
2400;26;15;15;13;44;17;1;
2500;20;16;18;13;46;17;1;
2600;31;21;20;16;38;15;1;
2700;24;16;20;16;37;19;1;
2800;27;25;23;19;57;22;1;
2900;32;12;25;18;45;26;1;
3000;29;13;26;21;53;31;1;
3100;28;13;30;22;55;31;1;
3200;48;14;30;22;64;29;1;
3300;38;15;37;23;61;30;1;
3400;36;22;35;34;68;43;1;
3500;35;15;34;23;67;33;1;
3600;46;22;38;28;84;39;1;
3700;44;21;43;32;99;44;1;
3800;55;21;37;38;107;45;1;
3900;45;22;44;35;81;47;1;
4000;51;23;45;32;90;43;1;
4100;61;29;51;40;100;43;2;
4200;60;48;46;37;98;54;2;
4300;71;62;53;45;113;55;2;
4400;71;57;60;45;106;51;2;
4500;77;73;64;44;111;56;3;
4600;84;70;64;48;115;58;2;
4700;78;66;84;46;124;56;2;
4800;80;70;82;46;126;63;2;
4900;104;72;90;62;162;70;2;
5000;101;74;75;64;132;67;2;
5100;103;71;109;55;173;75;2;
5200;106;79;101;60;155;71;2;
5300;108;84;88;58;163;80;2;
5400;96;87;109;75;188;80;2;
5500;114;84;90;61;213;90;2;
5600;134;87;107;73;173;84;2;
5700;114;83;97;73;203;87;3;
5800;135;102;109;69;197;90;3;
5900;129;94;116;81;215;102;3;
6000;149;118;122;84;211;88;3;
6100;138;112;130;91;228;114;3;
6200;132;116;123;110;231;100;3;
6300;134;64;131;102;235;102;3;
6400;133;72;130;119;291;130;3;
6500;141;67;151;102;281;114;3;
6600;129;78;134;109;282;131;3;
6700;145;95;153;115;281;151;3;
6800;151;84;141;113;266;125;3;
6900;166;94;143;135;287;141;3;
7000;189;83;140;127;301;160;3;
7100;201;113;165;149;306;151;3;
7200;171;107;157;115;287;135;3;
7300;187;89;166;123;335;194;3;
7400;183;78;171;138;326;155;3;
7500;181;118;199;159;341;147;3;
7600;184;98;208;127;389;162;4;
7700;179;109;196;138;324;198;4;
7800;222;105;216;147;386;155;4;
7900;217;101;200;162;393;159;4;
8000;220;118;208;173;432;186;5;
8100;214;115;214;166;400;186;4;
8200;275;95;221;158;397;216;4;
8300;283;100;211;149;411;174;4;
8400;295;108;216;180;396;207;4;
8500;315;120;271;172;421;223;5;
8600;310;121;221;164;449;204;4;
8700;323;108;255;190;470;223;4;
8800;326;120;223;185;479;212;4;
8900;325;129;299;199;478;257;5;
9000;318;138;248;189;466;238;4;
9100;370;272;308;206;483;236;4;
9200;345;277;278;200;503;237;5;
9300;358;257;273;224;558;258;4;
9400;376;331;309;214;532;234;5;
9500;367;321;280;220;557;255;5;
9600;306;223;212;157;404;190;5;
9700;262;210;219;162;410;194;5;
9800;269;216;220;167;415;196;5;
9900;280;221;226;167;421;200;5;
10000;281;223;233;169;431;206;5;
